target,scope,horizon_steps,horizon_label,observations,model_mae,baseline_mae,mae_improvement_pct,model_rmse,baseline_rmse,model_r2,baseline_r2
electricity_price,full_recursive_window,96,0-24 hours,2784,10.441452538259481,15.809762931034482,33.95566661051594,24.948818911006637,28.002348306954957,0.2241388316795343,0.022598635173073478
electricity_price,point_horizon,1,+15 min,29,3.4909272413386527,8.094827586206897,56.874594249703534,6.558274287434034,13.602000740256228,0.8337434142062305,0.2848365785228839
electricity_price,point_horizon,4,+1 hour,29,2.8916612573722547,8.244137931034482,64.92463758415786,3.8825008837262853,12.941331008666074,0.9304101404214516,0.22681979832801957
electricity_price,point_horizon,24,+6 hours,29,15.175775412177583,26.983793103448274,43.75966583349522,18.119414103520487,28.78503508470306,-0.2744505889796933,-2.21638647734552
electricity_price,point_horizon,48,+12 hours,29,11.030960510546242,22.404827586206896,50.76525151509203,17.581224391199413,24.457428460419788,0.1319588292074153,-0.6798235826991679
electricity_price,point_horizon,96,+24 hours,29,8.038993064405743,8.135172413793104,1.1822656545581005,12.634881964279097,13.200715236630957,0.3983855660395963,0.3432942869856547
grid_load,full_recursive_window,96,0-24 hours,2784,364.9807290455016,1373.8623563218391,73.43396684784034,523.276572005787,1639.2677743010959,0.820144145020866,-0.7650694607997806
grid_load,point_horizon,1,+15 min,29,42.22523907574192,250.73103448275867,83.1591493399093,53.910468682196836,272.179068844835,0.9860686720466685,0.6448958490764132
grid_load,point_horizon,4,+1 hour,29,112.48255234511494,283.158620689655,60.27578038374574,159.1958094544579,305.6514580254826,0.881347043560616,0.5626106094555655
grid_load,point_horizon,24,+6 hours,29,481.7011463863418,2186.5931034482755,77.97024304034001,618.4894291680738,2339.9428463400404,0.0748919035668335,-12.241537621497006
grid_load,point_horizon,48,+12 hours,29,463.5245269674397,2047.2827586206895,77.35903724018421,662.1160090822714,2182.9089531932004,0.0501265297583281,-9.324495159762042
grid_load,point_horizon,96,+24 hours,29,188.07976496504355,382.7724137931032,50.86381406087829,245.25793030132908,405.8643564814098,0.5220221424291411,-0.3089512908062959
solar_generation,full_recursive_window,96,0-24 hours,2784,38.71190278760372,38.96618534482758,0.6525723649200207,71.54367402089167,82.39604359215802,0.9349017319997829,0.9136545070174007
solar_generation,point_horizon,1,+15 min,29,0.056444501076087505,0.0,0.0,0.085868955588797,0.0,0.0,1.0
solar_generation,point_horizon,4,+1 hour,29,0.12957954376987002,0.0,0.0,0.1543136522109483,0.0,0.0,1.0
solar_generation,point_horizon,24,+6 hours,29,20.413809531104818,21.304827586206894,4.182235465162537,27.803768597695004,29.272673499239925,0.8330814331862156,0.814978544137352
solar_generation,point_horizon,48,+12 hours,29,118.56319924294465,112.13965517241378,-5.728164636010981,135.48289464400557,158.5853085664099,0.29524339087057105,0.03440251358676172
solar_generation,point_horizon,96,+24 hours,29,0.056444501076087505,0.0,0.0,0.085868955588797,0.0,0.0,1.0
wind_generation,full_recursive_window,96,0-24 hours,2784,345.404440351738,486.6960344827587,29.030767485331953,535.3272380928363,709.4096603246936,0.2890766394090879,-0.24847053969769983
wind_generation,point_horizon,1,+15 min,29,33.58871269296279,602.9048275862068,94.42885325243809,53.849321540952175,850.3236534848728,0.9950393643993947,-0.23693071523425036
wind_generation,point_horizon,4,+1 hour,29,103.78373393536154,614.4575862068966,83.10969930796557,175.70394524705188,867.7589505057027,0.9486464750335902,-0.2525798954759131
wind_generation,point_horizon,24,+6 hours,29,297.66825463898186,478.7355172413793,37.821982301576966,482.16948362384255,717.1312474426287,0.3954821445798675,-0.3372326894343949
wind_generation,point_horizon,48,+12 hours,29,395.28925677846206,523.9775862068966,24.559892028973344,629.1983414779128,733.3512823286691,0.15053116614673678,-0.1539750597682905
wind_generation,point_horizon,96,+24 hours,29,466.4314392567291,513.5086206896551,9.167748998974965,595.9525583422758,673.7488485640472,-0.6124849758107782,-1.060954347831975
